game_title,image_url,genre,short_description,player_mode
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Survive the abandoned Playtime Co. factory! Unravel the mysteries, solve puzzles, and outsmart Huggy Wuggy and other terrifying toys in this episodic horror adventure.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Team up in ""It Takes Two,"" a co-op adventure where a fractured couple must overcome obstacles using unique, connected abilities to rediscover their love.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Musou,"Chaos reigns! Enter ancient China in DYNASTY WARRIORS: ORIGINS, facing hordes as legendary warriors. Unleash Musou attacks and conquer epic battlefields!",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"NHL 25 delivers fast-paced hockey action with enhanced gameplay, updated rosters, and immersive visuals, offering the ultimate hockey experience.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,"Balatro is a deck-building roguelike where you play poker hands for powerful, score-boosting synergies.  Combine cards for explosive, addictive gameplay.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Adventure,"Dive into a vibrant world as a tiny creature, exploring interconnected environments, solving puzzles, and uncovering hidden secrets in MiSide, a charming platformer!",Both
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Journey through a world on the brink of chaos in Metaphor: Refantazio. Command the powers of the Traveler to shape destiny, forging bonds and battling for your future.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Step into the boots of Indiana Jones! Explore ancient mysteries, battle Nazis, and unravel a global conspiracy in this thrilling first-person adventure.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Realism,"Hell Let Loose is a brutal, realistic World War II FPS focused on large-scale infantry battles and intense squad-based combat. Communication and teamwork are key to survival.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Leap, bound, and explore! Mario's first 3D adventure sees him collecting stars to rescue Princess Peach from Bowser in a vibrant, unforgettable world.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Survival,"Explore the desolate Zone of alienation in S.T.A.L.K.E.R. 2. Survive brutal anomalies, uncover the secrets of Chernobyl, and fight for survival.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,MMORPG,"STALCRAFT: X plunges you into the desolate Zone, blending immersive survival with brutal PvP and thrilling PvE encounters in a post-apocalyptic world.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Cooperative,"Team up with friends in Supermarket Together! Cooperate to stock shelves, check out customers, and manage a chaotic supermarket before closing time!",Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Embark on a vibrant MMORPG adventure in Ragnarok Online 2! Explore a vast world, choose your class, and team up to battle mythical creatures and uncover ancient secrets.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Survival,"""The Outlast Trials"" plunges you into a terrifying experiment, forcing you to endure psychological and physical torture alone or with friends. Survive the trials or succumb to madness.",Multiplayer
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Interactive,"In Detroit, androids are sentient. Play as three androids and shape their fates as they fight for freedom and challenge humanity's control in this interactive drama.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Fighting,EA Sports UFC 2 delivers realistic MMA action with stunning visuals and improved gameplay. Featuring a deep roster of fighters and a variety of game modes.,Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Cozy up in Palia, a vibrant MMO where you build a life, make friends, and uncover the mysteries of a lost world, all without combat!",Both
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Survive the Amazon rainforest in Green Hell! Fight hunger, thirst, and psychological torment in this unforgiving open-world survival simulator. Craft, build, and fight for your life.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulator,Soar through stunningly realistic skies! Microsoft Flight Simulator 2024 delivers the ultimate aviation experience with dynamic world simulations and thrilling career paths.,Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Autobattler,"A strategic autobattler where you build a team of champions, position them tactically, and battle against seven other players to be the last one standing.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Exploration,"Explore a procedurally generated galaxy! Discover planets, build bases, fight space battles, and uncover the mysteries of a vast, shared universe in No Man's Sky.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Cultivate your dream farm in Farming Simulator 25! Expand your operations with new crops, vehicles, and animals across diverse global landscapes.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Action,"Fight for Washington D.C. in The Division 2, a looter-shooter RPG where you battle factions and rebuild society after a deadly pandemic.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Fight alongside iconic video game characters in explosive battles! Smash Bros. Ultimate features the largest roster ever, countless stages, and endless fun for all ages.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,"Survive a zombie apocalypse in Dying Light! Parkour through a vast, infected city during the day, and fight for your life against relentless hordes at night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,"1943 France: Disrupt the Nazi occupation as an elite Allied sniper. Utilize stealth, tactical weaponry, and satisfying X-ray kills to liberate the Resistance and sabotage key operations.",Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore the mysterious island of Aeternum in New World, where you'll battle fantastical creatures, forge your destiny, and carve out your place in a savage, player-driven world.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Join Hello Kitty and friends on a vibrant island! Build friendships, craft, explore, and decorate in this adorable, relaxing adventure game.",Multiplayer
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Comedy,"Run a chaotic, satirical news show in a world where everyone's a bizarre celebrity. Juggle breaking news, manage your outlandish staff, and craft the perfect headline!",Both
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Tank combat,"Dive into the world of ""Mir Tankov"" (World of Tanks), a free-to-play online multiplayer game featuring epic tank battles and historical vehicles.",Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"Isaac faces horrific trials in a randomly generated dungeon. Utilize tears, pickups, and transformations to survive gruesome bosses and uncover dark secrets.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Survival,"Exoborne is an open-world extraction shooter where you fight for survival in a ravaged, dynamic world. Gear up, scavenge, and battle both environment and rivals.",Multiplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Explore the vast open world of San Andreas in this action-adventure game. Steal cars, complete missions, and rise through the ranks of the criminal underworld.",Both
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Fashion,"Embark on a stylish adventure in Infinity Nikki, a dress-up RPG! Explore vast worlds, solve puzzles, and craft stunning outfits to overcome challenges with Nikki and her sidekick, Momo.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Looter-shooter,"Blast your way through mayhem! Borderlands 3 offers chaotic gunplay, a vast galaxy to explore, and tons of customizable weapons and Vault Hunters.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Knight Online is a classic MMORPG where players battle monsters, participate in PvP wars, and build a character in a fantasy world.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Manage your own supermarket! Stock shelves, handle finances, and deal with customers in this realistic and challenging simulation.",Singleplayer
